station,year,severity,collision,road_type,lat,lng,fatal,crash_id
Ashokanagar,2023,Grievous Injury,Vehicle to Vehicle,One way,12.967072,77.610883,0,206
Ashokanagar,2023,Damage Only,Vehicle to Vehicle,Two way,12.974029,77.611792,0,207
Ashokanagar,2023,Grievous Injury,Vehicle to Vehicle,Two way,12.934719,77.630314,0,208
Ashokanagar,2023,Grievous Injury,Hit pedestrian,Two way,12.973069,77.609204,0,209
Ashokanagar,2023,Grievous Injury,Vehicle to Vehicle,One way,12.971883,77.607072,0,210
Ashokanagar,2023,Grievous Injury,Vehicle to Vehicle,Two way,12.961606,77.612738,0,211
Ashokanagar,2023,Grievous Injury,Not Applicable,Two way,12.958826,77.612131,0,212
Ashokanagar,2023,Grievous Injury,Vehicle to Vehicle,Two way,12.964707,77.6037,0,213
Ashokanagar,2023,Grievous Injury,Vehicle to Vehicle,Two way,12.975078,77.607968,0,214
Ashokanagar,2023,Grievous Injury,Vehicle to Vehicle,Two way,12.974046,77.610166,0,215
Ashokanagar,2023,Fatal,Vehicle to Vehicle,Two way,12.961492,77.599314,1,216
Banasawadi,2017,Fatal,Hit fixed object,City or Town Road,13.008571,77.632392,1,217
Banasawadi,2017,Fatal,Others,City or Town Road,13.048648,77.645404,1,218
Banasawadi,2018,Fatal,Vehicle to Vehicle,Two way,13.019494,77.654324,1,219
Banasawadi,2018,Grievous Injury,Hit pedestrian,City or Town Road,13.02815,77.631887,0,220
Banasawadi,2019,Fatal,Hit and Run,City or Town Road,13.010377,77.645086,1,221
Banasawadi,2019,Grievous Injury,Vehicle to Vehicle,Two way,13.014104,77.638143,0,222
Banasawadi,2019,Fatal,Hit pedestrian,City or Town Road,13.02625,77.637241,1,223
Banasawadi,2020,Grievous Injury,Vehicle to Vehicle,Two way,13.006819,77.6394049,0,224
Banasawadi,2022,Grievous Injury,Not Applicable,Arterial,13.03405,77.63835,0,225
Banasawadi,2022,Grievous Injury,Vehicle to Vehicle,Two way,13.0218,77.6405,0,226
Banasawadi,2022,Grievous Injury,Vehicle to Vehicle,Others,13.039713,77.639111,0,227
Banasawadi,2022,Grievous Injury,Vehicle to Vehicle,Arterial,13.0188775,77.6299484,0,228
Banasawadi,2022,Damage Only,Vehicle to Vehicle,Two way,13.0203,77.6542,0,229
Banasawadi,2022,Grievous Injury,Hit pedestrian,Two way,13.028005,77.639969,0,230
Banasawadi,2022,Fatal,Vehicle to Vehicle,Others,13.02981,77.63109,1,231
Banasawadi,2022,Simple Injury,Vehicle to Vehicle,Others,13.02689,77.6365465,0,232
Banasawadi,2022,Grievous Injury,Vehicle to Vehicle,Others,13.053703,77.645427,0,233
Banasawadi,2022,Grievous Injury,Vehicle to Vehicle,Sub Arterial,13.034256,77.632675,0,234
Banasawadi,2022,Fatal,Hit pedestrian,Two way,13.0129191,77.6258461,1,235
Banasawadi,2022,Grievous Injury,Hit pedestrian,Arterial,13.0366438,77.627695,0,236
Banasawadi,2022,Grievous Injury,Vehicle to Vehicle,Two way,13.0306,77.5514,0,237
Banasawadi,2022,Grievous Injury,Hit pedestrian,Two way,13.022072,77.629694,0,238
Banasawadi,2022,Grievous Injury,Not Applicable,Two way,13.0224057,77.6469518,0,239
Banasawadi,2022,Grievous Injury,Vehicle to Vehicle,Others,13.0347435,77.6651497,0,240
Banasawadi,2022,Grievous Injury,Vehicle to Vehicle,Others,13.0452646,77.626882,0,241
Banasawadi,2023,Simple Injury,Not Applicable,Residential Street,13.124711,77.542351,0,242
Banasawadi,2023,Simple Injury,Vehicle to Vehicle,Residential Street,13.02274,77.637191,0,243
Banasawadi,2023,Grievous Injury,Vehicle to Vehicle,Others,13.022379,77.648663,0,244
Banasawadi,2023,Grievous Injury,Vehicle to Vehicle,Others,13.016946,77.643156,0,245
Banasawadi,2023,Grievous Injury,Vehicle to Vehicle,Two way,13.019465,77.640025,0,246
Banasawadi,2023,Grievous Injury,Vehicle to Vehicle,Two way,13.019483,77.640075,0,247
Banasawadi,2023,Grievous Injury,Vehicle to Vehicle,Two way,13.019474,77.640004,0,248
Banasawadi,2023,Grievous Injury,Vehicle to Vehicle,Two way,13.014925,77.653369,0,249
Banasawadi,2023,Simple Injury,Vehicle to Vehicle,Two way,13.019465,77.640025,0,250
Banasawadi,2023,Grievous Injury,Not Applicable,Others,13.019432,77.640025,0,251
